,,,,,,,,,,,
, Initial Claims ,,,, Continued Claims ,,,,I.U.R,,Covered Employment
, N.S.A , S.F. , S.A. , S.A. 4-Week , N.S.A , S.F. , S.A. , S.A. 4-Week ,N.S.A,S.A.,
1/7/67," 346,000.0000 ", 166.5000 ," 208,000.0000 ", -   ," 1,594,000.0000 ", 140.6000 ," 1,134,000.0000 ", -   ,,,
1/14/67," 334,000.0000 ", 161.5000 ," 207,000.0000 ", -   ," 1,563,000.0000 ", 139.7000 ," 1,119,000.0000 ", -   ,,,
1/21/67," 277,000.0000 ", 127.8000 ," 217,000.0000 ", -   ," 1,551,000.0000 ", 138.6000 ," 1,119,000.0000 ", -   ,,,
1/28/67," 252,000.0000 ", 123.8000 ," 204,000.0000 "," 209,000.0000 "," 1,533,000.0000 ", 139.0000 ," 1,103,000.0000 "," 1,118,750.0000 ",,,
2/4/67," 274,000.0000 ", 127.1000 ," 216,000.0000 "," 211,000.0000 "," 1,534,000.0000 ", 135.6000 ," 1,131,000.0000 "," 1,118,000.0000 ",,,
2/11/67," 276,000.0000 ", 120.4000 ," 229,000.0000 "," 216,500.0000 "," 1,557,000.0000 ", 135.0000 ," 1,153,000.0000 "," 1,126,500.0000 ",,,
2/18/67," 247,000.0000 ", 108.4000 ," 229,000.0000 "," 219,500.0000 "," 1,579,000.0000 ", 135.3000 ," 1,167,000.0000 "," 1,138,500.0000 ",,,
2/25/67," 248,000.0000 ", 102.6000 ," 242,000.0000 "," 229,000.0000 "," 1,625,000.0000 ", 135.5000 ," 1,199,000.0000 "," 1,162,500.0000 ",,,
3/4/67," 326,000.0000 ", 105.4000 ," 310,000.0000 "," 252,500.0000 "," 1,621,000.0000 ", 131.2000 ," 1,235,000.0000 "," 1,188,500.0000 ",,,
3/11/67," 240,000.0000 ", 99.8000 ," 241,000.0000 "," 255,500.0000 "," 1,577,000.0000 ", 127.8000 ," 1,234,000.0000 "," 1,208,750.0000 ",,,
3/18/67," 225,000.0000 ", 92.0000 ," 245,000.0000 "," 259,500.0000 "," 1,525,000.0000 ", 123.4000 ," 1,236,000.0000 "," 1,226,000.0000 ",,,
3/25/67," 215,000.0000 ", 87.2000 ," 247,000.0000 "," 260,750.0000 "," 1,505,000.0000 ", 118.7000 ," 1,268,000.0000 "," 1,243,250.0000 ",,,
4/1/67," 223,000.0000 ", 86.2000 ," 259,000.0000 "," 248,000.0000 "," 1,470,000.0000 ", 113.8000 ," 1,291,000.0000 "," 1,257,250.0000 ",,,
4/8/67," 251,000.0000 ", 97.6000 ," 257,000.0000 "," 252,000.0000 "," 1,410,000.0000 ", 110.8000 ," 1,273,000.0000 "," 1,267,000.0000 ",,,
4/15/67," 289,000.0000 ", 96.9000 ," 299,000.0000 "," 265,500.0000 "," 1,386,000.0000 ", 108.5000 ," 1,278,000.0000 "," 1,277,500.0000 ",,,
4/22/67," 218,000.0000 ", 89.1000 ," 245,000.0000 "," 265,000.0000 "," 1,342,000.0000 ", 105.1000 ," 1,277,000.0000 "," 1,279,750.0000 ",,,
4/29/67," 216,000.0000 ", 85.0000 ," 255,000.0000 "," 264,000.0000 "," 1,302,000.0000 ", 101.3000 ," 1,286,000.0000 "," 1,278,500.0000 ",,,
5/6/67," 221,000.0000 ", 87.4000 ," 254,000.0000 "," 263,250.0000 "," 1,242,000.0000 ", 95.0000 ," 1,308,000.0000 "," 1,287,250.0000 ",,,
5/13/67," 188,000.0000 ", 81.7000 ," 231,000.0000 "," 246,250.0000 "," 1,169,000.0000 ", 91.0000 ," 1,284,000.0000 "," 1,288,750.0000 ",,,
5/20/67," 177,000.0000 ", 77.3000 ," 230,000.0000 "," 242,500.0000 "," 1,129,000.0000 ", 89.3000 ," 1,265,000.0000 "," 1,285,750.0000 ",,,
5/27/67," 170,000.0000 ", 75.0000 ," 228,000.0000 "," 235,750.0000 "," 1,062,000.0000 ", 84.8000 ," 1,253,000.0000 "," 1,277,500.0000 ",,,
6/3/67," 175,000.0000 ", 70.8000 ," 248,000.0000 "," 234,250.0000 "," 1,085,000.0000 ", 85.8000 ," 1,265,000.0000 "," 1,266,750.0000 ",,,
6/10/67," 188,000.0000 ", 79.3000 ," 238,000.0000 "," 236,000.0000 "," 1,038,000.0000 ", 83.0000 ," 1,251,000.0000 "," 1,258,500.0000 ",,,
6/17/67," 176,000.0000 ", 78.8000 ," 224,000.0000 "," 234,500.0000 "," 1,023,000.0000 ", 82.0000 ," 1,248,000.0000 "," 1,254,250.0000 ",,,
6/24/67," 178,000.0000 ", 81.6000 ," 218,000.0000 "," 232,000.0000 "," 1,008,000.0000 ", 82.6000 ," 1,220,000.0000 "," 1,246,000.0000 ",,,
7/1/67," 206,000.0000 ", 98.9000 ," 209,000.0000 "," 222,250.0000 "," 980,000.0000 ", 82.2000 ," 1,193,000.0000 "," 1,228,000.0000 ",,,
7/8/67," 322,000.0000 ", 134.7000 ," 240,000.0000 "," 222,750.0000 "," 1,139,000.0000 ", 91.3000 ," 1,248,000.0000 "," 1,227,250.0000 ",,,
7/15/67," 309,000.0000 ", 128.1000 ," 241,000.0000 "," 227,000.0000 "," 1,212,000.0000 ", 96.3000 ," 1,258,000.0000 "," 1,229,750.0000 ",,,
7/22/67," 282,000.0000 ", 117.8000 ," 240,000.0000 "," 232,500.0000 "," 1,184,000.0000 ", 94.5000 ," 1,252,000.0000 "," 1,237,750.0000 ",,,
7/29/67," 243,000.0000 ", 116.4000 ," 209,000.0000 "," 232,500.0000 "," 1,205,000.0000 ", 94.2000 ," 1,280,000.0000 "," 1,259,500.0000 ",,,
8/5/67," 250,000.0000 ", 113.5000 ," 221,000.0000 "," 227,750.0000 "," 1,174,000.0000 ", 94.7000 ," 1,240,000.0000 "," 1,257,500.0000 ",,,
8/12/67," 193,000.0000 ", 95.5000 ," 202,000.0000 "," 218,000.0000 "," 1,132,000.0000 ", 93.2000 ," 1,215,000.0000 "," 1,246,750.0000 ",,,
8/19/67," 174,000.0000 ", 81.1000 ," 215,000.0000 "," 211,750.0000 "," 1,064,000.0000 ", 88.5000 ," 1,202,000.0000 "," 1,234,250.0000 ",,,
8/26/67," 160,000.0000 ", 75.5000 ," 213,000.0000 "," 212,750.0000 "," 994,000.0000 ", 84.2000 ," 1,180,000.0000 "," 1,209,250.0000 ",,,
9/2/67," 163,000.0000 ", 74.8000 ," 218,000.0000 "," 212,000.0000 "," 931,000.0000 ", 77.3000 ," 1,204,000.0000 "," 1,200,250.0000 ",,,
9/9/67," 156,000.0000 ", 68.0000 ," 231,000.0000 "," 219,250.0000 "," 938,000.0000 ", 78.9000 ," 1,189,000.0000 "," 1,193,750.0000 ",,,
9/16/67," 165,000.0000 ", 75.2000 ," 220,000.0000 "," 220,500.0000 "," 891,000.0000 ", 75.6000 ," 1,179,000.0000 "," 1,188,000.0000 ",,,
9/23/67," 155,000.0000 ", 74.4000 ," 209,000.0000 "," 219,500.0000 "," 878,000.0000 ", 74.6000 ," 1,178,000.0000 "," 1,187,500.0000 ",,,
9/30/67," 154,000.0000 ", 75.5000 ," 204,000.0000 "," 216,000.0000 "," 860,000.0000 ", 74.3000 ," 1,157,000.0000 "," 1,175,750.0000 ",,,
10/7/67," 195,000.0000 ", 84.4000 ," 231,000.0000 "," 216,000.0000 "," 859,000.0000 ", 73.7000 ," 1,165,000.0000 "," 1,169,750.0000 ",,,
10/14/67," 159,000.0000 ", 77.3000 ," 206,000.0000 "," 212,500.0000 "," 901,000.0000 ", 75.8000 ," 1,189,000.0000 "," 1,172,250.0000 ",,,
10/21/67," 181,000.0000 ", 81.3000 ," 223,000.0000 "," 216,000.0000 "," 891,000.0000 ", 75.9000 ," 1,174,000.0000 "," 1,171,250.0000 ",,,
10/28/67," 174,000.0000 ", 84.0000 ," 207,000.0000 "," 216,750.0000 "," 893,000.0000 ", 76.9000 ," 1,161,000.0000 "," 1,172,250.0000 ",,,
11/4/67," 204,000.0000 ", 91.9000 ," 222,000.0000 "," 214,500.0000 "," 920,000.0000 ", 78.3000 ," 1,176,000.0000 "," 1,175,000.0000 ",,,
11/11/67," 201,000.0000 ", 94.2000 ," 214,000.0000 "," 216,500.0000 "," 951,000.0000 ", 83.3000 ," 1,142,000.0000 "," 1,163,250.0000 ",,,
11/18/67," 209,000.0000 ", 105.4000 ," 198,000.0000 "," 210,250.0000 "," 952,000.0000 ", 84.1000 ," 1,133,000.0000 "," 1,153,000.0000 ",,,
11/25/67," 200,000.0000 ", 105.1000 ," 191,000.0000 "," 206,250.0000 "," 1,062,000.0000 ", 93.0000 ," 1,142,000.0000 "," 1,148,250.0000 ",,,
12/2/67," 228,000.0000 ", 116.6000 ," 196,000.0000 "," 199,750.0000 "," 1,089,000.0000 ", 94.7000 ," 1,150,000.0000 "," 1,141,750.0000 ",,,
12/9/67," 258,000.0000 ", 116.6000 ," 221,000.0000 "," 201,500.0000 "," 1,127,000.0000 ", 97.7000 ," 1,153,000.0000 "," 1,144,500.0000 ",,,
12/16/67," 241,000.0000 ", 118.7000 ," 204,000.0000 "," 203,000.0000 "," 1,201,000.0000 ", 101.1000 ," 1,188,000.0000 "," 1,158,250.0000 ",,,
12/23/67," 289,000.0000 ", 132.2000 ," 219,000.0000 "," 210,000.0000 "," 1,260,000.0000 ", 105.5000 ," 1,195,000.0000 "," 1,171,500.0000 ",,,
12/30/67," 332,000.0000 ", 153.8000 ," 216,000.0000 "," 215,000.0000 "," 1,484,000.0000 ", 127.1000 ," 1,167,000.0000 "," 1,175,750.0000 ",,,
1/6/68," 357,000.0000 ", 161.0000 ," 222,000.0000 "," 215,250.0000 "," 1,618,000.0000 ", 139.7000 ," 1,158,000.0000 "," 1,177,000.0000 ",,,
1/13/68," 373,000.0000 ", 167.9000 ," 222,000.0000 "," 219,750.0000 "," 1,647,000.0000 ", 138.8000 ," 1,187,000.0000 "," 1,176,750.0000 ",,,
1/20/68," 293,000.0000 ", 132.7000 ," 221,000.0000 "," 220,250.0000 "," 1,649,000.0000 ", 138.4000 ," 1,191,000.0000 "," 1,175,750.0000 ",,,
1/27/68," 242,000.0000 ", 122.7000 ," 198,000.0000 "," 215,750.0000 "," 1,602,000.0000 ", 138.4000 ," 1,157,000.0000 "," 1,173,250.0000 ",,,
2/3/68," 308,000.0000 ", 126.6000 ," 244,000.0000 "," 221,250.0000 "," 1,591,000.0000 ", 135.7000 ," 1,173,000.0000 "," 1,177,000.0000 ",,,
2/10/68," 257,000.0000 ", 122.5000 ," 210,000.0000 "," 218,250.0000 "," 1,572,000.0000 ", 133.8000 ," 1,175,000.0000 "," 1,174,000.0000 ",,,
2/17/68," 214,000.0000 ", 109.6000 ," 196,000.0000 "," 212,000.0000 "," 1,541,000.0000 ", 134.8000 ," 1,143,000.0000 "," 1,162,000.0000 ",,,
2/24/68," 199,000.0000 ", 103.3000 ," 193,000.0000 "," 210,750.0000 "," 1,575,000.0000 ", 135.2000 ," 1,165,000.0000 "," 1,164,000.0000 ",,,
3/2/68," 198,000.0000 ", 104.4000 ," 190,000.0000 "," 197,250.0000 "," 1,513,000.0000 ", 131.5000 ," 1,151,000.0000 "," 1,158,500.0000 ",,,
3/9/68," 208,000.0000 ", 102.1000 ," 204,000.0000 "," 195,750.0000 "," 1,469,000.0000 ", 128.1000 ," 1,147,000.0000 "," 1,151,500.0000 ",,,
3/16/68," 179,000.0000 ", 94.4000 ," 190,000.0000 "," 194,250.0000 "," 1,421,000.0000 ", 124.3000 ," 1,143,000.0000 "," 1,151,500.0000 ",,,
3/23/68," 175,000.0000 ", 87.9000 ," 200,000.0000 "," 196,000.0000 "," 1,358,000.0000 ", 119.5000 ," 1,136,000.0000 "," 1,144,250.0000 ",,,
3/30/68," 165,000.0000 ", 86.0000 ," 192,000.0000 "," 196,500.0000 "," 1,288,000.0000 ", 115.1000 ," 1,119,000.0000 "," 1,136,250.0000 ",,,
4/6/68," 184,000.0000 ", 96.2000 ," 191,000.0000 "," 193,250.0000 "," 1,202,000.0000 ", 111.4000 ," 1,079,000.0000 "," 1,119,250.0000 ",,,
4/13/68," 167,000.0000 ", 97.8000 ," 171,000.0000 "," 188,500.0000 "," 1,174,000.0000 ", 108.8000 ," 1,079,000.0000 "," 1,103,250.0000 ",,,
4/20/68," 165,000.0000 ", 90.4000 ," 183,000.0000 "," 184,250.0000 "," 1,123,000.0000 ", 106.1000 ," 1,059,000.0000 "," 1,084,000.0000 ",,,
4/27/68," 216,000.0000 ", 86.2000 ," 251,000.0000 "," 199,000.0000 "," 1,112,000.0000 ", 102.3000 ," 1,087,000.0000 "," 1,076,000.0000 ",,,
5/4/68," 180,000.0000 ", 86.5000 ," 209,000.0000 "," 203,500.0000 "," 1,040,000.0000 ", 96.4000 ," 1,079,000.0000 "," 1,076,000.0000 ",,,
5/11/68," 164,000.0000 ", 84.6000 ," 194,000.0000 "," 209,250.0000 "," 1,006,000.0000 ", 92.2000 ," 1,091,000.0000 "," 1,079,000.0000 ",,,
5/18/68," 156,000.0000 ", 78.4000 ," 199,000.0000 "," 213,250.0000 "," 966,000.0000 ", 90.2000 ," 1,071,000.0000 "," 1,082,000.0000 ",,,
5/25/68," 148,000.0000 ", 76.6000 ," 194,000.0000 "," 199,000.0000 "," 923,000.0000 ", 86.0000 ," 1,073,000.0000 "," 1,078,500.0000 ",,,
6/1/68," 139,000.0000 ", 70.4000 ," 199,000.0000 "," 196,500.0000 "," 916,000.0000 ", 86.2000 ," 1,063,000.0000 "," 1,074,500.0000 ",,,
6/8/68," 149,000.0000 ", 77.8000 ," 192,000.0000 "," 196,000.0000 "," 921,000.0000 ", 83.9000 ," 1,097,000.0000 "," 1,076,000.0000 ",,,
6/15/68," 154,000.0000 ", 79.4000 ," 194,000.0000 "," 194,750.0000 "," 883,000.0000 ", 82.5000 ," 1,071,000.0000 "," 1,076,000.0000 ",,,
6/22/68," 152,000.0000 ", 80.5000 ," 189,000.0000 "," 193,500.0000 "," 872,000.0000 ", 82.3000 ," 1,060,000.0000 "," 1,072,750.0000 ",,,
6/29/68," 173,000.0000 ", 89.7000 ," 194,000.0000 "," 192,250.0000 "," 858,000.0000 ", 82.7000 ," 1,038,000.0000 "," 1,066,500.0000 ",,,
7/6/68," 266,000.0000 ", 124.4000 ," 214,000.0000 "," 197,750.0000 "," 982,000.0000 ", 89.5000 ," 1,097,000.0000 "," 1,066,500.0000 ",,,
7/13/68," 242,000.0000 ", 130.6000 ," 186,000.0000 "," 195,750.0000 "," 1,022,000.0000 ", 95.0000 ," 1,076,000.0000 "," 1,067,750.0000 ",,,
7/20/68," 216,000.0000 ", 120.2000 ," 180,000.0000 "," 193,500.0000 "," 975,000.0000 ", 94.4000 ," 1,033,000.0000 "," 1,061,000.0000 ",,,
7/27/68," 238,000.0000 ", 116.4000 ," 205,000.0000 "," 196,250.0000 "," 975,000.0000 ", 94.1000 ," 1,036,000.0000 "," 1,060,500.0000 ",,,
8/3/68," 235,000.0000 ", 114.4000 ," 206,000.0000 "," 194,250.0000 "," 1,012,000.0000 ", 94.4000 ," 1,072,000.0000 "," 1,054,250.0000 ",,,
8/10/68," 222,000.0000 ", 102.1000 ," 218,000.0000 "," 202,250.0000 "," 1,021,000.0000 ", 93.8000 ," 1,088,000.0000 "," 1,057,250.0000 ",,,
8/17/68," 160,000.0000 ", 83.5000 ," 192,000.0000 "," 205,250.0000 "," 994,000.0000 ", 89.8000 ," 1,107,000.0000 "," 1,075,750.0000 ",,,
8/24/68," 148,000.0000 ", 77.1000 ," 193,000.0000 "," 202,250.0000 "," 935,000.0000 ", 85.5000 ," 1,094,000.0000 "," 1,090,250.0000 ",,,
8/31/68," 139,000.0000 ", 74.0000 ," 188,000.0000 "," 197,750.0000 "," 845,000.0000 ", 79.4000 ," 1,064,000.0000 "," 1,088,250.0000 ",,,
9/7/68," 135,000.0000 ", 71.8000 ," 189,000.0000 "," 190,500.0000 "," 836,000.0000 ", 78.4000 ," 1,067,000.0000 "," 1,083,000.0000 ",,,
9/14/68," 141,000.0000 ", 72.7000 ," 195,000.0000 "," 191,250.0000 "," 805,000.0000 ", 77.1000 ," 1,044,000.0000 "," 1,067,250.0000 ",,,
9/21/68," 142,000.0000 ", 74.9000 ," 191,000.0000 "," 190,750.0000 "," 786,000.0000 ", 75.1000 ," 1,047,000.0000 "," 1,055,500.0000 ",,,
9/28/68," 143,000.0000 ", 75.8000 ," 189,000.0000 "," 191,000.0000 "," 785,000.0000 ", 74.9000 ," 1,048,000.0000 "," 1,051,500.0000 ",,,
10/5/68," 153,000.0000 ", 83.4000 ," 185,000.0000 "," 190,000.0000 "," 788,000.0000 ", 74.3000 ," 1,060,000.0000 "," 1,049,750.0000 ",,,
10/12/68," 151,000.0000 ", 81.4000 ," 186,000.0000 "," 187,750.0000 "," 790,000.0000 ", 75.6000 ," 1,045,000.0000 "," 1,050,000.0000 ",,,
10/19/68," 151,000.0000 ", 79.3000 ," 191,000.0000 "," 187,750.0000 "," 791,000.0000 ", 76.5000 ," 1,035,000.0000 "," 1,047,000.0000 ",,,
10/26/68," 152,000.0000 ", 83.7000 ," 182,000.0000 "," 186,000.0000 "," 797,000.0000 ", 77.1000 ," 1,033,000.0000 "," 1,043,250.0000 ",,,
11/2/68," 161,000.0000 ", 89.5000 ," 181,000.0000 "," 185,000.0000 "," 804,000.0000 ", 78.2000 ," 1,028,000.0000 "," 1,035,250.0000 ",,,
